GRAPH,Algorithm,Execução,Resultado
500-149700,Djkstra - Matriz,8,0.1634421
500-149700,Djkstra - Matriz,9,0.1660263
500-149700,Djkstra - Matriz,10,0.1642083
500-149700,Floyd,1,10.157603
500-149700,Floyd,2,10.1569998
500-149700,Floyd,3,10.1821814
500-149700,Floyd,4,10.1664126
500-149700,Floyd,5,10.1661701
500-149700,Floyd,6,10.2434248
500-149700,Floyd,7,10.1791991
500-149700,Floyd,8,10.2884899
500-149700,Floyd,9,10.2858654
500-149700,Floyd,10,10.2556549
500-149700,Fulkerson,1,0.2004939
500-149700,Fulkerson,2,0.2057025
500-149700,Fulkerson,3,0.2124196
500-149700,Fulkerson,4,0.1966784
500-149700,Fulkerson,5,0.1974472
500-149700,Fulkerson,6,0.1971167
500-149700,Fulkerson,7,0.1970787
500-149700,Fulkerson,8,0.1965242
500-149700,Fulkerson,9,0.1943423
500-149700,Fulkerson,10,0.1964094
500-199600,BFS,1,0.2535204
500-199600,BFS,2,0.2274566
500-199600,BFS,3,0.2185916
500-199600,BFS,4,0.2227564
500-199600,BFS,5,0.2233651
500-199600,BFS,6,0.2351587
500-199600,BFS,7,0.2270821
500-199600,BFS,8,0.2359102
500-199600,BFS,9,0.2273747
500-199600,BFS,10,0.2347069
500-199600,DFS,1,0.6077781
500-199600,DFS,2,0.2466498
500-199600,DFS,3,0.1972861
500-199600,DFS,4,0.1841508
500-199600,DFS,5,0.1792354
500-199600,DFS,6,0.1879722
500-199600,DFS,7,0.1793392
500-199600,DFS,8,0.1836524
500-199600,DFS,9,0.1820396
500-199600,DFS,10,0.1983896
500-199600,Ordenação,1,0.1963202
500-199600,Ordenação,2,0.1835126
500-199600,Ordenação,3,0.1863199
500-199600,Ordenação,4,0.1786222
500-199600,Ordenação,5,0.1817513
500-199600,Ordenação,6,0.2313363
500-199600,Ordenação,7,0.1809722
500-199600,Ordenação,8,0.1777375
500-199600,Ordenação,9,0.186017
500-199600,Ordenação,10,0.1828694
500-199600,Kruskal,1,0.3172807
500-199600,Kruskal,2,0.3460428
500-199600,Kruskal,3,0.3206328
500-199600,Kruskal,4,0.3193506
500-199600,Kruskal,5,0.3117175
500-199600,Kruskal,6,0.3128984
500-199600,Kruskal,7,0.3175885
500-199600,Kruskal,8,0.3138236
500-199600,Kruskal,9,0.310585
500-199600,Kruskal,10,0.3143687
500-199600,Prim,1,0.1992771
500-199600,Prim,2,0.2189979
500-199600,Prim,3,0.2217787
500-199600,Prim,4,0.2320788
500-199600,Prim,5,0.2295583
500-199600,Prim,6,0.2226694
500-199600,Prim,7,0.2244283
500-199600,Prim,8,0.2045723
500-199600,Prim,9,0.2410513
500-199600,Prim,10,0.211789
500-199600,Bellman - Lista,1,1.0184981
500-199600,Bellman - Lista,2,0.4486863
500-199600,Bellman - Lista,3,0.8128511
500-199600,Bellman - Lista,4,0.4511989
500-199600,Bellman - Lista,5,0.4967344
500-199600,Bellman - Lista,6,0.5850582
500-199600,Bellman - Lista,7,0.4282604
500-199600,Bellman - Lista,8,0.6382006
500-199600,Bellman - Lista,9,0.4524169
500-199600,Bellman - Lista,10,0.7181606
500-199600,Bellman - Matriz,1,0.1706477
500-199600,Bellman - Matriz,2,0.1888155
500-199600,Bellman - Matriz,3,0.205246
500-199600,Bellman - Matriz,4,0.1769417
500-199600,Bellman - Matriz,5,0.1693823
500-199600,Bellman - Matriz,6,0.1824243
500-199600,Bellman - Matriz,7,0.1820105
500-199600,Bellman - Matriz,8,0.1856059
500-199600,Bellman - Matriz,9,0.1837902
500-199600,Bellman - Matriz,10,0.1938203
500-199600,Djkstra - Lista,1,0.2565918
500-199600,Djkstra - Lista,2,0.3685739
500-199600,Djkstra - Lista,3,0.2999904
500-199600,Djkstra - Lista,4,0.2976685
500-199600,Djkstra - Lista,5,0.2406215
500-199600,Djkstra - Lista,6,0.2469411
500-199600,Djkstra - Lista,7,0.3413647
500-199600,Djkstra - Lista,8,0.3209072
500-199600,Djkstra - Lista,9,0.3056424
500-199600,Djkstra - Lista,10,0.3292627
500-199600,Djkstra - Matriz,1,0.2180201
500-199600,Djkstra - Matriz,2,0.4262524
500-199600,Djkstra - Matriz,3,0.2784497
500-199600,Djkstra - Matriz,4,0.2774385
500-199600,Djkstra - Matriz,5,0.2527676
500-199600,Djkstra - Matriz,6,0.2571208
500-199600,Djkstra - Matriz,7,0.2143579
500-199600,Djkstra - Matriz,8,0.2339014
500-199600,Djkstra - Matriz,9,0.2142628
500-199600,Djkstra - Matriz,10,0.2188804
500-199600,Floyd,1,15.4367415
500-199600,Floyd,2,10.5443502
500-199600,Floyd,3,10.9023747
500-199600,Floyd,4,10.5052753
500-199600,Floyd,5,10.5505493
500-199600,Floyd,6,10.5843252
500-199600,Floyd,7,10.3026125
500-199600,Floyd,8,10.5136769
500-199600,Floyd,9,11.3495991
500-199600,Floyd,10,10.4340808
500-199600,Fulkerson,1,0.309756
500-199600,Fulkerson,2,0.3185907
500-199600,Fulkerson,3,0.3287432
500-199600,Fulkerson,4,0.411247
500-199600,Fulkerson,5,0.3138814
500-199600,Fulkerson,6,0.3045187
500-199600,Fulkerson,7,0.3187737
500-199600,Fulkerson,8,0.3313909
500-199600,Fulkerson,9,0.4722256
500-199600,Fulkerson,10,0.3102671
500-249500,BFS,1,0.2708372
500-249500,BFS,2,0.2654228
500-249500,BFS,3,0.2673529
500-249500,BFS,4,0.2651621
500-249500,BFS,5,0.2651537
500-249500,BFS,6,0.2645423
500-249500,BFS,7,0.2631387
500-249500,BFS,8,0.2974292
500-249500,BFS,9,0.2684468
500-249500,BFS,10,0.26358
500-249500,DFS,1,0.2249308
500-249500,DFS,2,0.2165828
500-249500,DFS,3,0.2198096
500-249500,DFS,4,0.2192286
500-249500,DFS,5,0.2208608
500-249500,DFS,6,0.2217842
500-249500,DFS,7,0.2186942
500-249500,DFS,8,0.2149863
500-249500,DFS,9,0.21901
500-249500,DFS,10,0.2218708
500-249500,Ordenação,1,0.2163822
500-249500,Ordenação,2,0.2197057
500-249500,Ordenação,3,0.2198362
500-249500,Ordenação,4,0.2159365
500-249500,Ordenação,5,0.2187099
500-249500,Ordenação,6,0.216422
500-249500,Ordenação,7,0.2114983
500-249500,Ordenação,8,0.2303285
500-249500,Ordenação,9,0.231435
500-249500,Ordenação,10,0.2153631
500-249500,Kruskal,1,0.3800022
500-249500,Kruskal,2,0.3820184
500-249500,Kruskal,3,0.3718448
500-249500,Kruskal,4,0.3778935
500-249500,Kruskal,5,0.3780856
500-249500,Kruskal,6,0.3701496
500-249500,Kruskal,7,0.3812126
500-249500,Kruskal,8,0.3760317
500-249500,Kruskal,9,0.4004869
500-249500,Kruskal,10,0.3955213
500-249500,Prim,1,0.2295553
500-249500,Prim,2,0.2238415
500-249500,Prim,3,0.2362009
500-249500,Prim,4,0.2246991
500-249500,Prim,5,0.2250551
500-249500,Prim,6,0.2252268
500-249500,Prim,7,0.2274203
500-249500,Prim,8,0.2254714
500-249500,Prim,9,0.2226981
500-249500,Prim,10,0.2272569
500-249500,Bellman - Lista,1,0.7093861
500-249500,Bellman - Lista,2,0.7120137
500-249500,Bellman - Lista,3,0.5110488
500-249500,Bellman - Lista,4,0.7621202
500-249500,Bellman - Lista,5,0.7145197
500-249500,Bellman - Lista,6,0.5077872
500-249500,Bellman - Lista,7,0.7124594
500-249500,Bellman - Lista,8,0.71348
500-249500,Bellman - Lista,9,0.5110129
500-249500,Bellman - Lista,10,0.7110928
500-249500,Bellman - Matriz,1,0.2029386
500-249500,Bellman - Matriz,2,0.1960157
500-249500,Bellman - Matriz,3,0.1974944
500-249500,Bellman - Matriz,4,0.2322511
500-249500,Bellman - Matriz,5,0.1992976
500-249500,Bellman - Matriz,6,0.1970125
500-249500,Bellman - Matriz,7,0.197389
500-249500,Bellman - Matriz,8,0.1985577
500-249500,Bellman - Matriz,9,0.1974629
500-249500,Bellman - Matriz,10,0.1967491
500-249500,Djkstra - Lista,1,0.2773273
500-249500,Djkstra - Lista,2,0.27663
500-249500,Djkstra - Lista,3,0.2751908
500-249500,Djkstra - Lista,4,0.278279
500-249500,Djkstra - Lista,5,0.2749484
500-249500,Djkstra - Lista,6,0.2763052
500-249500,Djkstra - Lista,7,0.2815864
500-249500,Djkstra - Lista,8,0.2772313
500-249500,Djkstra - Lista,9,0.3089013
500-249500,Djkstra - Lista,10,0.2959022
500-249500,Djkstra - Matriz,1,0.239729
500-249500,Djkstra - Matriz,2,0.2283069
500-249500,Djkstra - Matriz,3,0.2279712
500-249500,Djkstra - Matriz,4,0.2281648
500-249500,Djkstra - Matriz,5,0.2303657
500-249500,Djkstra - Matriz,6,0.2283744
500-249500,Djkstra - Matriz,7,0.2364809
500-249500,Djkstra - Matriz,8,0.2287906
500-249500,Djkstra - Matriz,9,0.2320823
500-249500,Djkstra - Matriz,10,0.2318171
500-249500,Floyd,1,10.5149391
500-249500,Floyd,2,10.5960261
500-249500,Floyd,3,10.8483431
500-249500,Floyd,4,10.6695712
500-249500,Floyd,5,10.785276
500-249500,Floyd,6,10.2983951
500-249500,Floyd,7,11.4145621
500-249500,Floyd,8,10.8896591
500-249500,Floyd,9,10.4809213
500-249500,Floyd,10,10.4354591
500-249500,Fulkerson,1,0.3109416
500-249500,Fulkerson,2,0.3045892
500-249500,Fulkerson,3,0.3014728
500-249500,Fulkerson,4,0.313216
500-249500,Fulkerson,5,0.3021076
500-249500,Fulkerson,6,0.3028902
500-249500,Fulkerson,7,0.3033087
500-249500,Fulkerson,8,0.3061123
500-249500,Fulkerson,9,0.3019159
500-249500,Fulkerson,10,0.3194102
